county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Baldwin County, Alabama",2010,183195,47502,0.5091023226616447,0.4908976773383553,0.8702366330958814,0.09405278528344115,0.004667157946450504,0.006113703976636917,0,0.0092633532574579,0.0156663664401321,0.13066867383195158
"Calhoun County, Alabama",2010,118510,36675,0.5236351362754198,0.4763648637245802,0.7443506877056788,0.21210868281157708,0.002911146738671842,0.005957303181166146,3.459623660450595e-4,0.022782887520040502,0.011543329676820521,0.2495173869398471
"Cullman County, Alabama",2010,80459,35786,0.5020693769497508,0.4979306230502492,0.956499583638872,0.015001429299394723,0.004113896518723822,9.321517791670292e-4,0,0.010527100759392984,0.01292583800444947,0.21141394368318026
"DeKalb County, Alabama",2010,71151,35967,0.4989950949389327,0.5010049050610673,0.9069443858835434,0.017315287206082837,0.011145310677291957,0,3.092015572514792e-4,0.03232561734901829,0.03196019732681199,0.19570493804380226
"Elmore County, Alabama",2010,79549,52222,0.5086173301989968,0.49138266980100315,0.7624985857773197,0.19522558423110284,0.003746118744421677,0.007102540572477341,0,0.011967466592917572,0.019459704081760926,0.10993631103525787
"Etowah County, Alabama",2010,104462,35897,0.5109034864352587,0.48909651356474126,0.8243763282341904,0.15845953552487987,0.005849016867377611,0.0032164806341061824,0,7.945472994964676e-4,0.007304091439949455,0.18047437649636028
"Houston County, Alabama",2010,101888,38579,0.5201005025125628,0.4798994974874372,0.700259108040201,0.25309163002512564,0.0033860709798994976,0.009608589824120602,0,0.015085191582914572,0.018569409547738693,0.18017818492978305
"Jefferson County, Alabama",2010,658555,41583,0.528068270683542,0.471931729316458,0.5364791095656399,0.4228895080896812,0.0021364958128022716,0.014253934751083813,0,0.016868750521976145,0.007372201258816651,0.18547220147924134
"Lauderdale County, Alabama",2010,92679,38661,0.5277570970770077,0.47224290292299226,0.8707905782323935,0.09585774555185102,0.012667378802101878,0.007909019303186266,0,0.001370321216241004,0.011404956894226308,0.17694253462742782
"Lee County, Alabama",2010,140780,39381,0.5081971871004404,0.49180281289955957,0.7261187668702941,0.23219207273760478,0.001555618695837477,0.02597670123597102,5.753658190083818e-4,0.004354311692001705,0.009227162949282568,0.22289019044461636
"Limestone County, Alabama",2010,83193,50325,0.4894041565997139,0.5105958434002861,0.815188777901987,0.13144134722873319,0.007380428641832847,0.011491351435817917,0,0.026144026540694528,0.008354068250934574,0.14117484935419616
"Madison County, Alabama",2010,335988,53539,0.5074437182280319,0.49255628177196803,0.6957808016952987,0.2387198352322107,0.008750312511161113,0.024247889805588296,6.845482576758693e-4,0.008765193995023632,0.023051418503041776,0.12727659380553827
"Marshall County, Alabama",2010,93235,39343,0.5106344184051054,0.4893655815948946,0.9308306966268033,0.014919289966214404,0.009470692336568885,0.006081407196868129,0,0.02438998230278329,0.014307931570762053,0.19615238714572156
"Mobile County, Alabama",2010,413277,39998,0.5193223915194893,0.48067760848051067,0.6072343730718138,0.3479966221202728,0.009758588065631525,0.018740457368786552,1.2824328477026303e-4,0.0047256440595532774,0.011416072029171718,0.20233935146252624
"Montgomery County, Alabama",2010,229844,41946,0.5271227441221003,0.4728772558778998,0.40024103304850245,0.5448130036024434,0.002484293694853901,0.021040357807904492,3.915699343902821e-4,0.01545831085431858,0.015571431057586885,0.21127918970868229
"Morgan County, Alabama",2010,119626,45513,0.5040877401233845,0.49591225987661547,0.8366993797335027,0.11627906976744186,0.00858509019778309,0.006587196763245449,0,0.0072225101566549075,0.024626753381371942,0.12820207214186594
"St. Clair County, Alabama",2010,83761,48316,0.5119924547223649,0.4880075452776352,NA,NA,NA,NA,NA,NA,NA,0.11047639972170346
"Shelby County, Alabama",2010,195828,65673,0.5118573442000123,0.4881426557999877,0.8289774700247156,0.10664460649141083,0.0024970892824315214,0.018454970688563433,0,0.031017014931470473,0.012408848581408175,0.10375502744118087
"Talladega County, Alabama",2010,82110,34488,0.5165509682133723,0.4834490317866277,NA,NA,NA,NA,NA,NA,NA,0.23597579735411753
"Tuscaloosa County, Alabama",2010,195036,43450,0.5158996287864804,0.48410037121351956,0.6701173116757931,0.2989345556717734,2.40981152197543e-4,0.009295719764556287,0,0.008957320699768248,0.01245411103591132,0.1758003313558869
"Walker County, Alabama",2010,66947,35150,0.5151388411728681,0.48486115882713193,NA,NA,NA,NA,NA,NA,NA,0.2570305913525232
"Anchorage Municipality, Alaska",2010,293227,72128,0.493341336234385,0.5066586637656151,0.6668997056887668,0.06095618752706947,0.07430079767552102,0.0818001070842726,0.02178516985134384,0.015233931391038341,0.07902410078198802,0.09037281984636025
"Fairbanks North Star Borough, Alaska",2010,98314,60785,0.4729946904815184,0.5270053095184816,0.7812315641719388,0.04198791626828326,0.07901214476066482,0.03111459202148219,0.004333055312569929,0.00835079439347397,0.053969933071586956,0.0700871434195546
"Matanuska-Susitna Borough, Alaska",2010,89737,68940,0.4781305370137179,0.5218694629862821,0.8546084669645743,0.008781216220733922,0.052776446727659715,0.009382974692713151,0.0013818157504708202,0.0033319589466998005,0.06973712069714834,0.10664222923666972
"Apache County, Arizona",2010,71676,30744,0.502553155868073,0.497446844131927,0.2518695239689715,8.789552988448016e-4,0.735629778447458,0.0032786427814052123,0.0014788771694849044,0.0023857358111501756,0.004478486522685418,0.34245825733127544
"Cochise County, Arizona",2010,131789,45213,0.49908565965293006,0.5009143403470699,0.8297202346174567,0.040974588167449484,0.009985658894141393,0.017482490951445114,0.0032020881864192005,0.06420869723573287,0.03442624194735524,0.1595275826454426
"Coconino County, Arizona",2010,134651,42130,0.5067916316997274,0.49320836830027254,0.611046334598332,0.012602951333447208,0.26906595569286523,0.015001745252541757,0.0017452525417560954,0.055484177614722505,0.03505358296633519,0.2585510755043044
"Maricopa County, Arizona",2010,3827371,50410,0.5050377922600134,0.49496220773998656,0.8102883153997875,0.051456469728176336,0.018018373447465635,0.033910483201132054,0.0019621823962192326,0.05768790117289387,0.026676274654325385,0.1651101482495123
