geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
01,Alabama,2008,4661900,42666,631,742,0.5154499238507905,0.48455007614920953,0.15695140822184195
02,Alaska,2008,686293,68460,949,1393,0.4789994943850513,0.5210005056149487,0.08420040520586518
04,Arizona,2008,6500180,50958,866,1177,0.4986763443473873,0.5013236556526127,0.14718370420672222
05,Arkansas,2008,2855390,38815,606,660,0.510203509853295,0.489796490146705,0.17322446643154377
06,California,2008,36756666,61021,1135,1919,0.4998588011219516,0.5001411988780484,0.13278281422639623
08,Colorado,2008,4939456,56993,848,1364,0.4963327945425569,0.503667205457443,0.11434179467039583
09,Connecticut,2008,3501252,68595,970,1722,0.511804063232238,0.4881959367677619,0.09284491390331985
10,Delaware,2008,873092,57989,917,1209,0.5159055403096122,0.4840944596903877,0.10001269345769788
11,District of Columbia,2008,591833,57936,1011,1826,0.5271656024588017,0.47283439754119827,0.17222544556252825
12,Florida,2008,18328340,47778,947,1152,0.509136943116507,0.490863056883493,0.1322738443192096
13,Georgia,2008,9685744,50861,787,1106,0.5077634717580808,0.49223652824191927,0.14661630105374077
15,Hawaii,2008,1288198,67214,1298,1645,0.49578015180896107,0.5042198481910389,0.09133017399623354
16,Idaho,2008,1523816,47576,690,946,0.4971026685636586,0.5028973314363414,0.126125394047416
17,Illinois,2008,12901564,56235,811,1293,0.507526839381644,0.49247316061835605,0.12191436289350462
18,Indiana,2008,6376792,47966,670,916,0.5082031842970572,0.4917968157029428,0.13075146315062539
19,Iowa,2008,3002557,48980,607,823,0.5069325911215008,0.4930674088784992,0.11549711635682963
20,Kansas,2008,2802134,50177,654,887,0.5041821697320685,0.4958178302679315,0.11318269693725953
21,Kentucky,2008,4269245,41538,578,728,0.5112058455300644,0.48879415446993557,0.17342756911725915
22,Louisiana,2008,4410796,43733,698,709,0.514914768218707,0.485085231781293,0.17347585266144497
23,Maine,2008,1316456,46581,702,973,0.5133684680688151,0.4866315319311849,0.12319627048084336
24,Maryland,2008,5633597,70545,1074,1658,0.5157568068855476,0.48424319311445246,0.08060123880141605
25,Massachusetts,2008,6497967,65401,991,1697,0.5148935043837557,0.4851064956162443,0.09992257104935362
