date,sales_category,daily_sales
01 Jan 2024,Groceries,24868.83
01 Jan 2024,Electronics,11932.33
01 Jan 2024,Clothing and Apparel,20140.03
01 Jan 2024,Home and Furniture,12123.59
01 Jan 2024,Toys and Games,2713.13
01 Jan 2024,Health and Beauty,3083.22
01 Jan 2024,Automotive,3866.33
01 Jan 2024,Sports and Outdoors,2449.14
02 Jan 2024,Groceries,43759.33
02 Jan 2024,Electronics,3604.52
02 Jan 2024,Clothing and Apparel,7049.77
02 Jan 2024,Home and Furniture,6410.68
02 Jan 2024,Toys and Games,3281.23
02 Jan 2024,Health and Beauty,2535.06
02 Jan 2024,Automotive,2383.62
02 Jan 2024,Sports and Outdoors,2318.29
03 Jan 2024,Groceries,40024.34
03 Jan 2024,Electronics,5493.56
03 Jan 2024,Clothing and Apparel,3184.71
03 Jan 2024,Home and Furniture,3422.89
03 Jan 2024,Toys and Games,2072.66
03 Jan 2024,Health and Beauty,4806.52
03 Jan 2024,Automotive,1712.73
03 Jan 2024,Sports and Outdoors,2712.61
04 Jan 2024,Groceries,25197.46
04 Jan 2024,Electronics,16326.16
04 Jan 2024,Clothing and Apparel,3754.64
04 Jan 2024,Home and Furniture,4089.09
04 Jan 2024,Toys and Games,2522.94
04 Jan 2024,Health and Beauty,5205.69
04 Jan 2024,Automotive,3362.24
04 Jan 2024,Sports and Outdoors,1896.1
05 Jan 2024,Groceries,29890.61
05 Jan 2024,Electronics,14925.97
05 Jan 2024,Clothing and Apparel,15567.07
05 Jan 2024,Home and Furniture,7967.47
05 Jan 2024,Toys and Games,3557.17
05 Jan 2024,Health and Beauty,8719.55
05 Jan 2024,Automotive,6349.54
05 Jan 2024,Sports and Outdoors,4072.34
06 Jan 2024,Groceries,55648.23
06 Jan 2024,Electronics,42002.29
06 Jan 2024,Clothing and Apparel,29412.75
06 Jan 2024,Home and Furniture,16691.65
06 Jan 2024,Toys and Games,3410.41
06 Jan 2024,Health and Beauty,22496.42
06 Jan 2024,Automotive,14098.72
06 Jan 2024,Sports and Outdoors,5549.91
07 Jan 2024,Groceries,102042.25
07 Jan 2024,Electronics,12136.37
07 Jan 2024,Clothing and Apparel,22428.97
07 Jan 2024,Home and Furniture,19804.63
07 Jan 2024,Toys and Games,3869.2
07 Jan 2024,Health and Beauty,16161.81
07 Jan 2024,Automotive,7108.24
07 Jan 2024,Sports and Outdoors,3077.13
08 Jan 2024,Groceries,65701.29
08 Jan 2024,Electronics,11138.06
08 Jan 2024,Clothing and Apparel,6752.35
08 Jan 2024,Home and Furniture,6909.82
08 Jan 2024,Toys and Games,4918.63
08 Jan 2024,Health and Beauty,3915.25
08 Jan 2024,Automotive,2102.68
08 Jan 2024,Sports and Outdoors,2723.58
09 Jan 2024,Groceries,38632.27
09 Jan 2024,Electronics,10173.5
09 Jan 2024,Clothing and Apparel,3326.08
09 Jan 2024,Home and Furniture,4880.9
09 Jan 2024,Toys and Games,2984.33
09 Jan 2024,Health and Beauty,4696.6
09 Jan 2024,Automotive,2058.08
09 Jan 2024,Sports and Outdoors,3224.62
10 Jan 2024,Groceries,35162.55
